82,"8.a","FaF","kémK","1/7",0,3
82,"8.a","FaF","kémK","2/1",3,5
83,"8.a","FaF","kémK","1/7",0,4
83,"8.a","FaF","kémK","2/1",3,4
84,"8.a","FaK","tör","8.a-2/2",2,6
84,"8.a","FaK","tör","8.a-2/2",4,1
85,"8.a","GeG","biK","8.a-2/2",0,4
85,"8.a","GeG","biK","8.a-2/2",3,4
86,"8.a","GeG","biK","8.a-2/2",0,3
86,"8.a","GeG","biK","8.a-2/2",3,5
87,"8.a","KGa","rajz","8.a-2/2",1,5
87,"8.a","KGa","rajz","8.a-2/2",1,6
88,"8.a","KGé","fizK","8.a-2/2",2,4
88,"8.a","KGé","fizK","8.a-2/2",0,5
89,"8.a","LiA","népt","népt",4,5
90,"8.a","LiA","népt","népt",4,6
91,"8.a","MéP","én","0/5",4,3
92,"8.a","NéD","matK","8.a-2/2",1,4
92,"8.a","NéD","matK","8.a-2/2",2,5
92,"8.a","NéD","matK","8.a-2/2",4,4
93,"8.a","PiK","dk","0/1 inf",4,5
94,"8.a","SzZs","dk","2/4 inf",4,6
95,"8.a","CsV","magy","8.a-2/2",1,1
95,"8.a","CsV","magy","8.a-2/2",1,2
95,"8.a","CsV","magy","8.a-2/2",4,2
95,"8.a","CsV","magy","8.a-2/2",0,6
96,"8.a","CsV","of","8.a-2/2",3,6
97,"8.b","LiA","népt","népt",4,1
98,"8.b","LiA","népt","népt",2,5
99,"8.b","MéP","én","0/5",0,3
100,"8.b","KuL","kémK","8.b-2/3",2,4
100,"8.b","KuL","kémK","8.b-2/3",0,5
101,"8.b","KuL","kémK","8.b-2/3",0,6
101,"8.b","KuL","kémK","8.b-2/3",3,4
102,"8.b","FáL","magy","8.b-2/3",4,5
102,"8.b","FáL","magy","8.b-2/3",2,2
102,"8.b","FáL","magy","8.b-2/3",0,2
102,"8.b","FáL","magy","8.b-2/3",1,4
103,"8.b","EHJ","biK","1/7",0,6
103,"8.b","EHJ","biK","1/7",3,4
104,"8.b","FaN","biK","1/7",2,4
104,"8.b","FaN","biK","1/7",0,5
105,"8.b","GCs","matK","8.b-2/3",1,6
105,"8.b","GCs","matK","8.b-2/3",4,4
105,"8.b","GCs","matK","8.b-2/3",2,6
106,"8.b","ViF","fizK","8.b-2/3",2,1
106,"8.b","ViF","fizK","8.b-2/3",4,6
107,"8.b","KuJ","tes","tesi2",0,4
107,"8.b","KuJ","tes","tesi2",4,3
107,"8.b","KuJ","tes","népt",3,6
107,"8.b","KuJ","tes","tesi2",1,7
108,"8.b","TóK","tes","tesi3",0,4
108,"8.b","TóK","tes","tesi3",4,3
108,"8.b","TóK","tes","tesi3",3,6
108,"8.b","TóK","tes","tesi3",1,7
109,"8.b","CsV","méd","8.b-2/3",1,5
110,"8.b","BoG","drsz","1/1",1,5
111,"8.b","CsZ","ái","8.b-2/3",3,7
112,"8.b","OrA","rajz","8.b-2/3",3,1
112,"8.b","OrA","rajz","8.b-2/3",3,2
113,"8.b","BHZs","föl","8.b-2/3",3,5
114,"8.b","ScP","tör","8.b-2/3",1,1
114,"8.b","ScP","tör","8.b-2/3",4,2
115,"8.b","RGy","dk","2/4 inf",2,5
116,"8.b","PiK","dk","0/1 inf",4,1
117,"8.b","ScP","of","8.b-2/3",1,2
117,"8.b","SzkN","of","8.b-2/3",1,2
118,"8.c","VaB","of","8.c-1/2",4,6
118,"8.c","CzL","of","8.c-1/2",4,6
119,"8.c","CzL","tes","tesi2",0,7
119,"8.c","CzL","tes","tesi2",4,7
119,"8.c","CzL","tes","tesi3",2,1
119,"8.c","CzL","tes","tesi2",1,6
120,"8.c","VaB","tes","tesi3",0,7
120,"8.c","VaB","tes","tesi3",4,7
120,"8.c","VaB","tes","tesi2",2,1
120,"8.c","VaB","tes","népt",1,6
121,"8.c","NéD","matK","8.c-1/2",1,5
121,"8.c","NéD","matK","8.c-1/2",3,4
121,"8.c","NéD","matK","8.c-1/2",4,2
122,"8.c","GeG","biK","8.c-1/2",0,6
122,"8.c","GeG","biK","1/7",3,2
123,"8.c","GeG","biK","8.c-1/2",0,5
123,"8.c","GeG","biK","1/7",3,1
124,"8.c","CsK","kémK","1/4",0,6
124,"8.c","CsK","kémK","8.a-2/2",3,2
125,"8.c","CsK","kémK","1/4",0,5
125,"8.c","CsK","kémK","8.a-2/2",3,1
126,"8.c","KKÉ","föl","8.c-1/2",0,4
127,"8.c","ViF","fizK","8.c-1/2",2,2
127,"8.c","ViF","fizK","8.c-1/2",4,5
128,"8.c","MéP","én","0/5",1,4
